Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_6_TEXT,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q32_10_TEXT,Q33,Q33_6_TEXT,Q34,Q35,Q35_16_TEXT,Q36,Q36_16_TEXT,Q37,Q37_16_TEXT,Q38,Q39,Q40,Q41,Q42,Q42_8_TEXT,Q43,Q44,Q45_1,Q46_1,Q47,Q48,Q48_16_TEXT,Q49_1_x,Q49_1_y,Q49_2_x,Q49_2_y,Q49_3_x,Q49_3_y,Q49_4_x,Q49_4_y,Q49_5_x,Q49_5_y,Q49_6_x,Q49_6_y,Q49_7_x,Q49_7_y,Q49_8_x,Q49_8_y,Q49_9_x,Q49_9_y,Q49_10_x,Q49_10_y,Q49,Q50,Q51,Q52,Q53,Q53_4_TEXT,Q54,Q55,Q55_6_TEXT,Q56,Q56_4_TEXT,Q57,Q57_6_TEXT
19,Undergraduate,EEE/EIE,First,Male,Cisgender,Heterosexual,No,None,None,None,None,None,None,None,None,None,Yes,Snus/ Nicotine pouches,None,None,None,None,None,None,None,None,Once a week,3mg,2 dot,Nordic Spirit,None,None,None,No,None of the above,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
24,Undergraduate,Mechanical Engineering,Fourth,Male,Cisgender,Gay,Yes,Weekly,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,Because my friends do,It's fun",None,Yes,Blacked out,0-1,Socially,Snus/ Nicotine pouches,None,None,None,None,None,None,None,None,Once a week,3mg,2 dot,Velo,None,None,None,Yes,None of the above,None,None,None,None of the above,None,None,None,No,None,None,None,None,I have not had sex on drugs,21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Bioengineering,Third,Female,Cisgender,Heterosexual,Yes,Every few months,"Wine,Spirits,Cider",Yes,Yes,OTHER,Fun with friends,No,Vomitted,0-1,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,Marijuana,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22,Undergraduate,Materials,Third,Male,Cisgender,Heterosexual,Yes,Daily,"Beer,Wine,Spirits,Cider",Yes,Yes,"To get drunk,Because my friends do,To relax,It's fun",None,Yes,Blacked out,15+,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,"Marijuana,Cocaine (powder),Crack Cocaine,MDMA/ Ecstasy,Ketamine,Acid/ LSD,Psilocybin,Methamphetamine,Nitrous Oxide,Heroin,Anabolic Steroids,Amphetamines (speed, ice, uppers, etc),Mephedrone,Smart Drugs (Adderall/Ritalin/ etc.),Benzodiazepines,Khat",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,Undergraduate,Biology,Second,Female,Cisgender,Bisexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,Yes,"To get drunk,It's fun",None,Yes,Blacked out,10-12,Socially,"Cigarettes,Vapes","Pre–rolled, regular size (Straights),Roll your own (Rollies)",Marlboro,1-2,No,Disposable,i don't buy them myself,blueberry,The battery dies before I finish,None,None,None,None,None,None,None,Yes,"Marijuana,Cocaine (powder),Ketamine,Smart Drugs (Adderall/Ritalin/ etc.),Benzodiazepines",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None of the above,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Medicine,Second,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,No,It's fun,None,Yes,Hospitalised,7-9,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22,Undergraduate,Medicine,Third,Female,Cisgender,Bisexual,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,Marijuana,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Aeronautics,Second,Male,SKIP,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,No,"I like the taste,To get drunk,Because my friends do,It's fun",None,Yes,Blacked out,13-14,Socially,"Cigarettes,Vapes,Snus/ Nicotine pouches",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Medicine,Third,Male,Cisgender,Heterosexual,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
25+,Postgraduate - Taught,OTHER,First,Female,SKIP,Heterosexual,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21,Undergraduate,Physics,Second,Female,Cisgender,Heterosexual,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None of the above,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
22,Undergraduate,Biochemistry,Third,Male,Cisgender,Heterosexual,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21,Undergraduate,Biochemistry,Third,Female,Cisgender,Queer,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None of the above,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None of the above,None,None,None,None of the above,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Computing,Second,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,Yes,"Because my friends do,To relax",None,No,Hungover,1-3,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Design Engineering,Second,Male,Cisgender,Heterosexual,Yes,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23,Undergraduate,Materials,Third,Male,Cisgender,Heterosexual,Yes,Every few months,"Beer,Wine,Spirits,Cider",No,No,To get drunk,None,Yes,Hungover,0-1,Socially,"Cigarettes,Vapes,Snus/ Nicotine pouches",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Chemical Engineering,Second,Male,Cisgender,Heterosexual,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,None of the above,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
20,Undergraduate,Bioengineering,Second,Female,SKIP,Asexual,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
