Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_6_TEXT,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q32_10_TEXT,Q33,Q33_6_TEXT,Q34,Q35,Q35_16_TEXT,Q36,Q36_16_TEXT,Q37,Q37_16_TEXT,Q38,Q39,Q40,Q41,Q42,Q42_8_TEXT,Q43,Q44,Q45_1,Q46_1,Q47,Q48,Q48_16_TEXT,Q49_1_x,Q49_1_y,Q49_2_x,Q49_2_y,Q49_3_x,Q49_3_y,Q49_4_x,Q49_4_y,Q49_5_x,Q49_5_y,Q49_6_x,Q49_6_y,Q49_7_x,Q49_7_y,Q49_8_x,Q49_8_y,Q49_9_x,Q49_9_y,Q49_10_x,Q49_10_y,Q49,Q50,Q51,Q52,Q53,Q53_4_TEXT,Q54,Q55,Q55_6_TEXT,Q56,Q56_4_TEXT,Q57,Q57_6_TEXT
SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,Yes,Fortnightly,Wine,No,No,To get drunk,None,No,Vomitted,15+,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,I have successfully quit,AnswerDisplayOrder,None,None,None,None,None,None,Fortnightly,Yes,Yes,To enjoy yourself,None,None,I have not had sex on drugs,24,24,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,Undergraduate,Biology,First,Female,Cisgender,Heterosexual,Yes,Monthly,Spirits,Yes,Yes,"To get drunk,Because my friends do,It's fun",None,No,Hungover,1-3,Socially,Cigarettes,"Pre–rolled, regular size (Straights)",OTHER,1-2,No,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,OTHER,Social,None,I have not had sex on drugs,19,19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,No,None,None,No,None,None,None,None,None,None
21,Undergraduate,Physics,Fourth,Male,Cisgender,Gay,Yes,Every few months,"Beer,Wine,Cider",No,Yes,To relax,None,Yes,Hungover,1-3,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,To enjoy yourself,None,None,I have not had sex on drugs,18,19,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,No,None,None,No,None,None,None,None,None,None
19,Undergraduate,Physics,First,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Spirits,Cider",Yes,Yes,"To get drunk,Because my friends do,It's fun",None,Yes,Vomitted,10-12,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,Self discovery,None,None,I have not had sex on drugs,19,25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23,Postgraduate - Research,Physics,First,Male,Cisgender,Prefer not to say,Yes,2-3 times a week,"Beer,Wine,Spirits",No,I don't know/ unsure,"I like the taste,To relax,It's fun",None,Yes,Vomitted,10-12,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,To experience something different,None,None,I've had chem sex,17,18,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bong,No,No,None,None,No,None,None,None,None,None,None
19,Undergraduate,Chemistry,First,Male,Transgender,Bisexual,Yes,Monthly,"Wine,Spirits,Cider",Yes,I don't know/ unsure,"To get drunk,It's fun",None,Yes,Blacked out,1-3,Yes,"Cigarettes,Snus/ Nicotine pouches",Roll your own (Rollies),Benson & Hedges,1-2,Yes,None,None,None,None,More than three daily,>30mg,6 dot,Velo,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Unsure,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self–medication",None,None,I have not had sex on drugs,17,16,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Spliff (marijuana with tobacco, rolling paper),Bong",No,Yes,Gummies,None,Yes,None,None,None,None,None,None
20,Undergraduate,Mechanical Engineering,Third,Male,Cisgender,Heterosexual,Yes,Weekly,"Spirits,Cider",Yes,Yes,Because my friends do,None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,"To enjoy yourself,To experience something different,Self discovery",None,None,I have not had sex on drugs,18,19,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,Yes,"Gummies,Laced into food",None,No,None,None,None,None,None,None
23,Postgraduate - Research,Physics,Second,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,I don't know/ unsure,"I like the taste,Because my friends do,To relax,It's fun",None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication",None,None,"I've had drunk sex,I have not had sex on drugs",17,20,Other Drugs,Acid/ LSD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),THC vape (Cart, Penjamins, etc)",No,Yes,Brownies/ baked goods,None,No,Bumming off a friend,None,OTHER,None,They're local,None
19,Undergraduate,Physics,First,Male,Cisgender,SKIP,Yes,2-3 times a week,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Hungover,7-9,Socially,Cigarettes,Roll your own (Rollies),Marlboro,1-2,No,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,To feel good,None,None,I have not had sex on drugs,17,16,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper)",No,No,None,None,No,Bumming off a friend,None,OTHER,None,OTHER,None
23,Postgraduate - Taught,Computing,First,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Cider",No,Yes,"To get drunk,Because my friends do",None,Yes,Vomitted,4-6,Socially,Cigarettes,"Pre–rolled, regular size (Straights)",Marlboro,1-2,No,None,None,None,None,None,None,None,None,None,None,None,I have successfully quit,AnswerDisplayOrder,None,None,None,None,None,None,None,None,None,None,None,None,None,16,None,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,Yes,"Brownies/ baked goods,Gummies",None,No,None,None,Can arrange quick delivery,None,Text,None
20,Undergraduate,Mathematics,Second,Male,Cisgender,Heterosexual,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,OTHER,All drugs I’ve taken I’ve grown,OTHER,I reply to Zendaya’s tweets with coordinates
20,Undergraduate,Physics,Third,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,To relax,It's fun",None,Yes,Blacked out,10-12,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Benson & Hedges,1-2,No,Disposable,None,Don’t vape I clicked the wrong button,The battery dies before I finish,More than three daily,6mg,3 dot,Zyn,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,Weekly,No,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication,Physical performance",None,Sid was wafflin man,"I've had drunk sex,I've had chem sex",15,17,Nicotine,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Bong",No,Yes,"Brownies/ baked goods,Gummies",None,Unsure,Dealer,None,Can arrange quick delivery,None,Text,None
19,Undergraduate,Biochemistry,Second,Female,Cisgender,Queer,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,I don't know/ unsure,"I like the taste,To get drunk,To relax,It's fun",None,Yes,Blacked out,4-6,Yes,Cigarettes,Roll your own (Rollies),Marlboro,3-5,No,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self–medication,Exam/ academic performance",None,"After almost two whole bottles of wine, I did a bunch of ket thinking it was coke. I don't remember the rest of the night but I was so incredibly unwell the next day i collapsed trying to go to the bathroom: ","I've had drunk sex,I've had chem sex",14,14,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Spliff (marijuana with tobacco, rolling paper)",Yes,Yes,"Brownies/ baked goods,Gummies",None,No,"Friends dealer,Bumming off a friend",None,OTHER,None,Carrier Pigeon,None
20,Undergraduate,Mathematics,Second,Male,Cisgender,Prefer not to say,Yes,2-3 times a week,"Beer,Spirits,Cider",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Blacked out,7-9,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,"To enjoy yourself,To experience something different",None,Throw up,I've had drunk sex,15,18,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bumming off a friend,None,OTHER,None,Carrier Pigeon,None
20,Undergraduate,Mathematics,Second,Male,Cisgender,Bisexual,Yes,4-6 times a week,"Beer,Wine,Spirits",Yes,I don't know/ unsure,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Vomitted,10-12,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Marlboro,3-5,Yes,Disposable,castaldo ,baia blast ,A few days,More than three daily,>30mg,6 dot,Iceberg,None,None,None,No,AnswerDisplayOrder,tu si ,None,None,None,None,None,On Special Occasions,No,No,Self discovery,None,None,"I've had drunk sex,I've had chem sex",14,16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"THC vape (Cart, Penjamins, etc)",Unsure,No,None,None,Unsure,Bumming off a friend,None,Walking distance,None,Carrier Pigeon,None
18,Undergraduate,Mechanical Engineering,First,Male,Cisgender,Queer,Yes,Daily,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,I don't know/ Unsure,Hungover,15+,Yes,"Cigarettes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Marlboro,1-2,Yes,None,None,None,None,More than three daily,10-15mg,4 dot,Zyn,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,Weekly,Yes,No,Self discovery,None,None,"I've had drunk sex,I've had chem sex",14,16,Nicotine,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Prescription,None,Walking distance,None,Carrier Pigeon,None
18,Undergraduate,EEE/EIE,First,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Beer,Wine,Spirits",Yes,I don't know/ unsure,"I like the taste,To get drunk",None,Yes,Hungover,13-14,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,Monthly,No,No,"To relax/ unwind,Exam/ academic performance",None,Just complete memory loss,I've had drunk sex,17,17,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"THC vape (Cart, Penjamins, etc)",No,No,None,None,No,OTHER,Synthesize carts from legally bought substances,Walking distance,None,They're local,None
18,Undergraduate,Computing,First,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Wine,Spirits",Yes,No,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Hospitalised,15+,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Marlboro,3-5,Yes,Reusable with e-Liquid,VAPORESSO REFILLABLE XROS 4 MINI,MANGO,A day,Two-three daily,10-15mg,3 dot,Zyn,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,Weekly,No,Yes,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication,Exam/ academic performance",None,"Took a tab of acid for the first time and proceeded to viscerally shit myself because I had food poisioning, lost my phone wallet keys, some kind stranger gave me a lift to my gfs house but she wasnt in so i curled up in the foetal position on her doorstep until she got back 
","I've had drunk sex,I've had chem sex",14,14,Nicotine,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper),Blunt (pure marijuana, cigar or tobacco leaf wrapping),Bong,THC vape (Cart, Penjamins, etc)",Yes,Yes,"Brownies/ baked goods,Gummies,Laced into food",None,Yes,"Prescription,Dealer,Bumming off a friend",None,"Walking distance,Can arrange quick delivery",None,Phone Call,None
22,Undergraduate,Mechanical Engineering,Fourth,Female,Cisgender,Bisexual,Yes,Weekly,"Wine,Spirits",No,I don't know/ unsure,"To get drunk,Because my friends do",None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,To enjoy yourself,None,None,I've had drunk sex,15,17,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bumming off a friend,None,OTHER,None,OTHER,None
23,Undergraduate,Mechanical Engineering,Fifth,Female,Cisgender,Bisexual,Yes,2-3 times a week,"Beer,Wine,Spirits,Cider",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Blacked out,4-6,Yes,Cigarettes,"Pre–rolled, thin (Vogues)",OTHER,6-8,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,"To relax/ unwind,To experience something different,Exam/ academic performance",None,None,"I've had drunk sex,I've had chem sex",16,16,Nicotine,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper),Blunt (pure marijuana, cigar or tobacco leaf wrapping),Bong,Convection vape",Yes,Yes,"Brownies/ baked goods,Gummies,Laced into food",None,No,"Dealer,Friends dealer,Bumming off a friend",None,Need to organise in advance,None,Text,None
22,Undergraduate,Bioengineering,Second,Female,SKIP,Heterosexual,Yes,Monthly,Beer,Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,No,Hungover,1-3,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,None,None,None,None,None,None,None,19,None,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Walking distance,None,They're local,None
23,Undergraduate,Mathematics,Third,Male,Cisgender,Gay,No,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Need to organise in advance,None,OTHER,I don't
21,Undergraduate,Mechanical Engineering,Third,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Beer,Wine,Spirits,Cider",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,I have successfully quit,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,"To relax/ unwind,To feel good,To experience something different",None,None,I have not had sex on drugs,18,15,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper)",No,No,None,None,No,Bumming off a friend,None,OTHER,None,OTHER,None
25+,Postgraduate - Taught,Design Engineering,Second,Male,Cisgender,Heterosexual,Yes,Fortnightly,"Spirits,Cider",Yes,Yes,"Because my friends do,It's fun",None,Yes,Vomitted,1-3,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,None,None,None,None,None,None,None,22,None,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,OTHER,"Bro what, I don't have one ",Carrier Pigeon,None
25+,Postgraduate - Taught,Design Engineering,Second,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",No,Yes,"I like the taste,To relax,It's fun",None,Yes,Blacked out,1-3,Yes,"Cigarettes,Snus/ Nicotine pouches",Roll your own (Rollies),Imported Brands,12-14,Yes,None,None,None,None,Two-three daily,3mg,2 dot,Zyn,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,Self discovery,None,"Psilocybin, in a city, cold weather ","I've had drunk sex,I've had chem sex",16,18,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",Yes,Yes,"Brownies/ baked goods,Gummies",None,Unsure,Bumming off a friend,None,OTHER,Do not use anymore,OTHER,Do not anymore
21,Undergraduate,Biology,Third,Female,Cisgender,Bisexual,Yes,Weekly,"Beer,Wine,Spirits,Cider",Yes,Yes,"I like the taste,Because my friends do,To relax,It's fun",None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,"To enjoy yourself,To experience something different,Exam/ academic performance",None,Took a high dose and stayed high for about 30 hours,"I've had drunk sex,I've had chem sex",14,15,Nicotine,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper),Blunt (pure marijuana, cigar or tobacco leaf wrapping)",No,Yes,Brownies/ baked goods,None,Unsure,"Friends dealer,Bumming off a friend",None,OTHER,None,OTHER,None
20,Undergraduate,Biology,Third,Female,Cisgender,Heterosexual,Yes,2-3 times a week,"Wine,Spirits,Cider",Yes,Yes,"I like the taste,To get drunk,To relax,It's fun",None,Yes,Vomitted,4-6,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,To experience something different,None,None,I've had drunk sex,17,18,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper)",No,Yes,Brownies/ baked goods,None,No,Friends dealer,None,OTHER,None,OTHER,None
20,Undergraduate,Physics,Second,Male,Cisgender,Heterosexual,No,None,None,None,None,None,None,None,None,None,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches",Roll your own (Rollies),Benson & Hedges,1-2,No,Reusable with e-Liquid,Elfbar,Lemon lime,A few days,More than three daily,10mg,4 dot,Nordic Spirit,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,Weekly,No,No,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different",None,Went to a 5D experience with family on Molly and got really motion sick. I was close to fainting for several hours and my family said I was talking as if I was about to die.,None,None,18,Other Drugs,OTHER,"Marijuana, Smart drugs (Ritalin and Modafini), Cocaine, MDMA, Ketamine",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper),Bong,THC vape (Cart, Penjamins, etc)",Yes,Yes,"Brownies/ baked goods,Gummies,Laced into food",None,No,Dealer,None,Can arrange quick delivery,None,Text,None
21,Undergraduate,Physics,Second,Male,Cisgender,Heterosexual,Yes,2-3 times a week,"Beer,Wine,Spirits,Cider",Yes,Yes,"I like the taste,To get drunk,Because my friends do,To relax,It's fun",None,Yes,Blacked out,7-9,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches","Pre–rolled, regular size (Straights)",Marlboro,3-5,Yes,Disposable,Crystal,Lemon & Lime,A few days,More than three daily,10-15mg,2 dot,Zyn,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,Weekly,Yes,Yes,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication,Exam/ academic performance,Physical performance",None,I never lose,"I've had drunk sex,I've had chem sex",14,18,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper),Blunt (pure marijuana, cigar or tobacco leaf wrapping),Bong,THC vape (Cart, Penjamins, etc),Convection vape",Unsure,Yes,"Brownies/ baked goods,Gummies,Laced into food",None,Unsure,"Prescription,Dealer",None,"Can arrange quick delivery,Need to organise in advance",None,Text,None
25+,SKIP,SKIP,SKIP,Male,Cisgender,Bisexual,Yes,2-3 times a week,"Beer,Spirits",No,Yes,To relax,None,Yes,Vomitted,13-14,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,AnswerDisplayOrder,dmt. opium.,None,None,None,None,None,Daily,Yes,Yes,"To relax/ unwind,To feel good,To enjoy yourself,To experience something different,Self discovery,Self–medication,Exam/ academic performance,Physical performance,OTHER",aphrodisiac ,lsd making me not understand what people were saying and it was going on forever,"I've had drunk sex,I've had chem sex",14,14,Other Drugs,OTHER,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dealer,None,Walking distance,None,Phone Call,None
18,Undergraduate,Physics,First,Male,Cisgender,Prefer not to say,Yes,2-3 times a week,Beer,No,No,OTHER,Addiction,No,Hungover,4-6,Yes,"Vapes,Snus/ Nicotine pouches",None,None,None,None,Disposable,Varies,None,A few days,At least one daily,6mg,2 dot,Velo,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,"Self–medication,Exam/ academic performance",None,"How about I don’t, huh",I have not had sex on drugs,18,17,Nicotine,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,OTHER,None,OTHER,None,OTHER,None
22,Undergraduate,Mechanical Engineering,Fourth,Female,Cisgender,Heterosexual,Yes,Fortnightly,"Beer,Wine,Spirits,Cider",Yes,No,"To get drunk,To relax,It's fun",None,Yes,Vomitted,1-3,Yes,Vapes,None,None,None,None,Reusable with Pods,lost mary,triple mango,A few days,None,None,None,None,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,Yes,No,"To relax/ unwind,To enjoy yourself,To experience something different",None,None,"I've had drunk sex,I've had chem sex",15,18,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper),THC vape (Cart, Penjamins, etc)",Unsure,Yes,"Brownies/ baked goods,Gummies,Laced into food",None,No,"Dealer,Friends dealer,Bumming off a friend",None,Can arrange quick delivery,None,Text,None
22,Undergraduate,Business School,Fourth,Male,SKIP,SKIP,No,None,None,None,None,None,None,None,None,None,Yes,"Cigarettes,Vapes,Snus/ Nicotine pouches",Roll your own (Rollies),Marlboro,20+,Yes,Reusable with Pods,Oxva,Lemonade,The battery dies before I finish,More than three daily,>30mg,6 dot,Iceberg,None,None,None,Yes,AnswerDisplayOrder,None,None,None,None,None,None,Daily,Yes,Yes,"To relax/ unwind,Exam/ academic performance,OTHER","Chronic GAD, PTSD, MDD, ASD","Have tried to kill myself/almost died drinking in 2nd year of university due to stress. No intricate reason; the course didn't support me, and I couldn't hack the course.",None,None,14,Other Drugs,OTHER,"Not possible to choose more than one. Alcohol, marijuana, smart drugs, ket",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Joint (pure marijuana, rolling paper),Spliff (marijuana with tobacco, rolling paper),Bong,THC vape (Cart, Penjamins, etc)",No,Yes,"Brownies/ baked goods,Gummies,Laced into food",None,Yes,"Prescription,Dealer",None,Can arrange quick delivery,None,Carrier Pigeon,None
22,Undergraduate,Chemistry,Third,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Spirits",Yes,Yes,"I like the taste,To get drunk,To relax,It's fun",None,Yes,Blacked out,1-3,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,AnswerDisplayOrder,None,None,None,None,None,None,On Special Occasions,No,No,OTHER,Guys I don’t take drugs it’s not letting me say that,None,I've had drunk sex,18,25,Alcohol,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,OTHER,N/a,OTHER,N/a,OTHER,N/a
24,Postgraduate - Research,Biology,Second,Male,Cisgender,Heterosexual,Yes,Weekly,"Beer,Wine,Cider",Yes,I don't know/ unsure,"I like the taste,To get drunk,To relax",None,Yes,Vomitted,1-3,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,OTHER,Sertraline,None of the above,None,"Marijuana,Cocaine (powder),Crack Cocaine,MDMA/ Ecstasy,Ketamine,Acid/ LSD,Psilocybin,Methamphetamine,Nitrous Oxide,Heroin,Anabolic Steroids,Amphetamines (speed, ice, uppers, etc),Mephedrone,Smart Drugs (Adderall/Ritalin/ etc.),Benzodiazepines,Khat",None,Vitamins ,Daily,None,Yes,OTHER,My GP gave it to me to control my mental problems caused by this college,Nothing. If I don’t take the tablet I will feel sick and dizziness. My mood will be super low and I will have a bunch of suicidal thoughts.,None,14,24,Alcohol,None,None,1004,823,771,889,688,936,458,962,273,838,226,958,360,907,207,885,193,750,342,754,"Library,SAF/ RCS,Des Eng Building,Chemistry and SECB,Dangoor Plaza,Other",None,None,None,None,None,None,Prescription,None,None,None,None,None
